"id. Response ID","submitdate. Date submitted","startdate. Date started","G1Q00001. Your current study program?","G1Q00001[other]. Your current study program? [Other]","G1Q00002. Bachelor or Master? ","G1Q00003. In which semester were you in SS24?(If you are a master student, only count your master semesters and do not count your bachelor semesters) ","G1Q00004. Which OS (operating system) do you use on your laptop?","G1Q00005. Which internet browser do you usually use?","G1Q00006. How would you describe your programming experience?","G2Q00001. The direct automated feedback from Artemis keeps me more engaged in the learning process.","G2Q00002. The direct automatic feedback from Artemis motivates me to repeatedly improve my code. ","G2Q00003. The direct automated feedback from Artemis makes me feel more motivated to complete my programming assignments. ","G2Q00004. The direct automated feedback from Artemis encourages me to experiment more with my coding solutions.","G3Q00001. I feel more comfortable requesting direct automated feedback from Artemis than feedback from a human tutor.","G3Q00002. I am likely to request feedback more frequently when using direct automated feedback from Artemis than feedback from my course professor.","G3Q00003. I find receiving direct automated feedback from Artemis less intimidating than receiving feedback from a human tutor.","G3Q00004. I feel that requesting direct automated feedback from Artemis is more convenient than arranging a meeting with a human tutor.","G4Q00001. The direct automated feedback provided by Artemis helps me understand my mistakes.","G4Q00002. The direct automated feedback from Artemis is more effective than one-time feedback.","G4Q00003. The direct automated feedback has significantly improved the quality of my programming assignment.","G4Q00004. The direct automated feedback is a helpful addition to the automatic test case results.","G4Q00005. I feel that having access to direct automated feedback from Artemis continously helps me more than arranging a meetings with a human tutor.","G5Q00001. It is easy to receive direct automated feedback from Artemis on my programming assignments.","G5Q00002. I would rather use the direct automated feedback integrated into Artemis than use an external AI tool for getting feedback.","G5Q00003. I find the direct automated feedback from Artemis helpful in improving my programming skills.","G5Q00004. I am satisfied with the overall performance of the direct automated feedback.","G5Q00005. Are there any improvements that you would suggest for direct automated feedback?","G5Q00006. How did you find the feedback?","G5Q00007. What kind of feedback would you like to receive?","G5Q00008. Was there anything you particularly liked about the direct automated feedback process?","G5Q00009. What difficulties did you encounter when using the direct automated feedback process?"
"1","2024-06-10 12:25:13","2024-06-10 12:20:28","Informatics","","Bachelor","6","MacOS","Safari","Advanced","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","- Some kind of ordering by ""category"" or importance would be nice, currently feedback on leftover TODO comments are in between more important feedback.
- It would be great to see some kind of visual indication as to how far the system is with generating feedback (if possible).
But the general positive feedback like ""You've done well with xyz"" are great!","","","",""
"2","2024-06-10 12:38:12","2024-06-10 12:33:52","Information Systems","","Bachelor","8","MacOS","Opera","Advanced","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Agree","Disagree","the feedback was not provided in a structured manner. It was difficult to categorize the errors and find the errors in the code to which the feedback was referring to.","","","",""
"3","2024-06-10 12:51:07","2024-06-10 12:41:27","Informatics","","Master","6","MacOS","Arc","Intermediate","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","It's hard to distinguish which feedbacks are more relevant to improve the solution at the first glance, as each feedback has the same colour and AI usually generate many feedbacks. 
Doing a sentiment analysis on AI feedbacks and assigning them colours according to the feedback type (like in automatic test results green, yellow or red) can help users better focus on feedbacks that highlight their mistakes or suggestions sent by AI. 

Example:
Good job: Green
Can be improved: Yellow
Missing or not implemented: Red","","","",""
"4","2024-06-10 13:07:20","2024-06-10 13:02:22","Information Systems","","Bachelor","10","MacOS","Arc","Intermediate","Agree","Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Strongly Agree","Neutral","Agree","Agree","","","","",""
"5","2024-06-13 12:40:06","2024-06-13 12:29:42","Informatics","","Master","3","MacOS","Google Chrome","Expert","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Better UX when asking for feedback, so that I can see something is happening. Currently I don't know if it just takes quite some time, or if it already completed and I should refresh my browser. Also the first time, I didn't know where to click to see the Automated Feedback.","Quite relevant, it helped me fix some obvious oversights at the beginning","Mostly about my mistakes, point out where and why it's wrong","The fact that with this tool, I wouldn't have to sit for hours debugging a cryptic hidden test case which I don't even know where to look out for. With this, some small and hidden mistakes that make the tests fail can be found way quicker. Also it applies the context of the exercise to the feedback, which guides me in the right direction.","It is nice that it tells you that you did a good job at something, however currently all feedback (good or bad) is classified the same way. I'm mostly interested in my mistakes, so I think it would make it even better if those would have another background color (or something like this), so that I know at a glance where I should improve my code."
"6","2024-06-17 12:52:43","2024-06-17 12:30:34","Informatics","","Bachelor","6","Linux","Google Chrome","Advanced","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","The direct automation seems to review things that I have already done correctly. For me, this is overkill. I would prefer to receive fewer informational messages. For example, I received 15 informational messages, and 5 of them pertained to things I did correctly. It’s hard to go through all 15 messages. Additionally, there are multiple messages about todos. I don’t need feedback for every todo message. Maybe one message that includes all the feedback regarding the todos would be better. I would suggest this for every kind of unclear statement, since when there is a big exercise and a student receives 20-30 feedback messages, it's hard to parse through all of them and can be a bit annoying. So the same kind of feedback could be coupled together.","Feedback seems to cover almost everything. However, when I left out just one getter/setter in the exercise, it didn't recognize this. Another common mistake that students make is getting the order of the parameters in the constructors wrong. It would be nice to receive feedback on the order of the parameters in the constructor when they are incorrect.","Combine feedback messages when they are of the same type. If my code is not compiling, I would like to receive feedback about this. When I had a build fail and wanted direct automated feedback, it didn't recognize the error explaining why my code didn't compile or why the build failed. I think this would be a great addition since new starters tend to have compile errors and don't understand why.","I liked that it mentions the best code practices, which is very useful for maintaining clean code. It also covers design patterns so students can further research them on their own.","Receiving too much feedback can be overwhelming. It would also be nice to have a progress bar or loading screen to indicate that the feedback is being generated, as I did not understand if my request was being processed until I received it. Additionally, some mistakes, such as forgetting a getter/setter or compile errors, were not detected in the feedback."
"7","2024-06-17 12:45:14","2024-06-17 12:37:09","Informatics","","Master","6","Linux","Firefox","Expert","Agree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Neutral","Strongly Agree","From a UI perspective the (see more) button is a bit useless, probably just displaying all the text straight away would be nicer","Helpful, and also very detailed","To get a better learning experience the AI should probably not provide feedback, which does not yet reveal the correct solution, but nudges the student in the right direction to solve the task by themselves. ","Getting a detailed feedback, not just based on the test cases.","It takes a few minutes to receive the automated feedback"
"8","2024-06-17 13:01:33","2024-06-17 12:43:23","Informatics","","Bachelor","6","MacOS","Google Chrome","Advanced","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","I think it would be better to color code the feedback given based on if it is feedback that points out that I've done something well or constructive feedback that suggests changes/improvements or feedback including generally tips that one should keep in mind while programming. This would be helpful to differentiate the feedback and have an overview of what one has done in a ""good"" way and where there is still room for improvement.
Maybe clustering them would also be an option?
I would also suggest adding some kind of header that describes what the feedback is about, instead of just ""Feedback · File src/de/tum/...""","The feedback was precise! The process of requesting feedback is very straight forward and intuitive. Sometimes the feedback was referring to the wrong lines though (one line above or below).","Good coding practices, task related-feedback, tips to improve readability of code.","How easy it is to use. I also like that one receives ""good"" feedback, which encourages the user and points out what he has done well and should continue doing.","When opening the feedback, I think the user receives too much feedback at once. Limiting the amount of feedback or clustering it to make it visually more appealing and enabling the user to have a better overview would be great!"
"9","2024-06-17 13:05:55","2024-06-17 12:47:18","Informatics","","Master","4","MacOS","Safari","Expert","Agree","Agree","Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Strongly Agree","Agree","Neutral","Strongly Agree","- The button for automatic feedback is visible and not disabled although it is not yet possible to request feedback, e.g when I just started the exercise. Instead only an error message is shown when clicking on it. The button should be at least greyed out.
- Tell the student an approximate amount of time that they should expect. Otherwise the locking of the repository might feel not worth it.
- When reviewing the ai feedback, the feedback boxes barely do not fit all feedback in them and they need to be expanded. But they are already so big and full of text that a quick overview over all feedback is not possible
- Is it possible to request feedback while the latest submission is still building? I wasn't able to verify this to 100% during the three requests
- it is possible to request feedback multiple times without submitting again, wasting the limited amount of requests without any benefit
- If the feedback does not want to improve anything but rather tells me I did something good, it should be green and not blue
- Show the maximum amount of requests
- Watch out with using green for the feedback text and the checkmark as icon, since they normally mean that the student successfully solved the exercise","- Some feedback was about parts that I did not change yet. The ai should detect which tasks I tried to solve
- Some feedbacks felt a bit redundant or addressed really similar stuff","- Feedback about code style is good, as long as the student already is on a good way to solve the task. Otherwise it could distract or confuse the student. It shouldn't be feedback, that tools like pmd, spotbugs, ... provide
- Feedback that helps solving the current task, but only if the student seems to be stuck. Students should also learn to look for errors themselves","It worked well overall, but there wasn't anything that stuck out to me.","I did not encounter any actual difficulties, see feedback for a few smaller nitpicks and suggestions"
"10","2024-06-17 13:17:17","2024-06-17 12:52:10","Informatics","","Master","3","MacOS","Google Chrome","Advanced","Agree","Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","I think that the UserExperience can be improved. E.g., I tried what happens if I request feedback without a submission, which resulted in an alert ""You have to submit your work at least once."" - I think the button should be disabled and greyed out, and the alert text in the tooltip description of the button if there was no submission yet.

","It gives good starting points if you are stuck on an exercise to know how and where to continue - this is how I would use the feature in practice.

It would be important that there is a low rate of suggestions that are not relevant. Otherwise, I would probably stop using the feature and start asking GitHub Copilot for suggestions.
(In my case I got the feedback to re-order the variables, even though, as far as I can see I did already have them in the suggested order: ""It's great to see that you've kept the class members organized by their access modifiers. However, it seems that the 'semester' and 'email' fields have been moved in the class body. While this change does not affect the functionality, it's important to maintain a consistent order of fields for readability. Typically, fields are grouped together, and it's common to place all final fields before mutable ones."")","Especially feedback regarding where I can improve. I would prefer getting directly to that information instead of getting told what has been good about the previous submission (e.g. ""You've done well to identify that the `Student` class needs refactoring as per the TODO comments. As you progress, consider how you can apply the template method design pattern to eliminate any duplication between the `Student` and `Professor` classes. This will involve identifying common behaviors and structuring your classes to allow for shared code while preserving the unique aspects of each class."" - here, I would not need the first sentence)","I think the constant and barrier-free availability (no scheduling of appointments / arrangement of working times) fits the students everyday life well!","When I requested the feedback for the first time, I did not see a loading indicator, which confused me.

I also think that more inexperienced users will not know where to find the feedback, that they will have to click on the text of the new item in the timeline. It is only intuitive for users who have already worked on programming exercises and know that they can see test results there.

The state of the feedback process is displayed in text, I think a loading Icon would be more beneficial and easier for the user than reading text that says that the result is still building."
